title,company,location,post_date,num_applicants,full_time,size,description,salary
Google Data Analyst,Frontiers,Spain,1 week ago,,level,"1,001-5,000 employees · Book and Periodical Publishing","About the job
          

 
We are on a mission to make science open so everyone can live healthy lives on a healthy planet

Who We Are

Frontiers is an award-winning open science platform and leading open access scholarly publisher.

We are one of the largest and most cited publishers globally. To date, our 200,000 freely available research articles have received more than 1 billion views and downloads and 2 million citations. Our journals span science, health, humanities and social sciences, engineering, and sustainability. And we continue to expand into new academic disciplines so more researchers can publish open access.

Be part of the publishing revolution and help us transform the way research is published, evaluated, and communicated to the world.

The Role:

We are expanding our Digital Marketing Team and recruiting a Google Data Analyst ; this is a brand new role in the team reporting the SEO Manager. The Google Data Analyst will play a key role in analyzing the results of our SEO efforts and contribute to improving the appearance and positioning of our webpages on search engine results pages.

Key Responsibilities:
Monitor and analyze SEO Signals, website UX, traffic and engagement as well as website ranking and content consumptionBuild reports and provide recommendations on actions to take where necessary; implement automated escalation systemsSupport other teams in their project planning to ensure that robust and efficient tracking and analytics systems are implementedConsolidate Google Analytics and Google Search Console data with Frontiers Data Warehouse (DWH) and other data sourcesProvide expert recommendation on the use of GA360 data

Knowledge, Skills & Experience: 
Education: Bachelor’s degree in Computer science, Mathematics, Marketing or any other relevant field, with strong interest in data analysisDesirable 3+ years of experience working directly with Google Analytics dataProven ability to manage, understand, discuss, and work with analytics accounts, goals, properties, dashboards, reports, segments, and custom channel/content groupingsExperience working with Google Search console and Big queryHands-on experience with Google Tag Manager; experience and expertise in web tagging conceptsExperience in using visualization tools, in particular Tableau and Google Data StudioAn understanding of SEO and technical SEO concepts, search dataEntrepreneurial ability to diagnose web data tracking issues and propose solutionsInterest in statistical programming/query languages (R, Python, SQL)Ability to produce clear and concise data-driven reports and presentations and ability to simplify advanced statistical concepts for a layman audienceDesirable: knowledge of GraphQL, Graph DB (for ex neo4j) and Web code (html, css, js)

Benefits

With more than 50 nationalities represented in our global team, you will work regularly with teammates in other countries, and with our community of researchers, editors, and authors from around the globe.

Our mission to create solutions for healthy lives also extends to the working environment we provide for our employees.

This includes:

100% remote working

Employees now have the flexibility to choose where they want to work, with remote working available on a part- or full-time basis (not applicable to some Workplace/IT jobs due to nature of role requiring presence onsite, in the office).

Learning and development

All employees have access to LinkedIn Learning (and Pluralsight for our technology team), an annual personal learning budget, and dedicated L&D time.

Wellbeing

We offer free online yoga classes, an employee assistance plan, access to the Headspace app, and four wellbeing days on top of your annual leave allowance.

Volunteering opportunities

Employees can dedicate three days each year to volunteer for a personal cause or through our volunteering partner platform, Alaya.

Frontiers actively embraces diversity and is a safe and welcoming workplace. Recruitment is free from discrimination – including based on race, national or ethnic origin, age, religion, disability, sex, gender identity or sexual orientation. With over 600 employees from more than 50 different nations, our diversity creates vibrant teams and constantly challenges us to appreciate multiple perspectives.",
"Data Scientist, Commercial Systems",Canonical,"Valencia, Valencian Community, Spain",2 weeks ago,,level,"501-1,000 employees · Software Development","About the job
          

 
                We have established a new data science practice at Canonical. The team will innovate in the open source data science technology stack, deliver advanced business analytics, support product roadmap decisions for Canonical through actionable insights, and lead by example in setting and publicly advocating for industry standards in open source data science. The team will have both Data Scientists and Data Engineers.

As a Data Scientist at Canonical you will work to generate actionable insights from data across the Canonical ecosystem. Our Data Engineers work hard to make sure that you have the right data - with the right safeguards - in your hands at any time. As a Data Scientist, your challenge is to transform that data into meaningful changes in our operations, decision-making or awareness.

You will design, deploy and evaluate machine learning models at scale on cutting-edge infrastructure. You will use a range of analytics capabilities to build decision-support tools, dashboards, monitoring and reports.

As an internal user, you will shape, beta test and contribute to our open source data platforms and MLOps solutions. This work requires proactive collaboration in a worldwide distributed team of engineers who are experts in many fields.

At Canonical you will partner up with key stakeholders to build data products to support our diverse offerings - from Ubuntu Desktop and Server, cloud infrastructure at the largest scale, to open source robotics and IoT solutions.

You will be at the forefront of technical development in open source data science. As such, you will get the chance to advocate for solutions, which you help to build, at the most prestigious industrial and academic venues worldwide.

We expect
Bachelor's degree or equivalent in Computer Science or a related engineering fieldAbility to decompose complex business problems into computational experimentsRigorous and consistent application of the scientific methodAbility to condense heterogeneous data into understandable formsExperience with open source data platform software, from ingestion to visualizationExperience with the Python scientific stack, data structures, and algorithmsExperience within machine learning frameworks such as TensorFlow or PyTorchExperience with RDBMS or NoSQL databases and ability to use SQLExperience using Linux as an advanced userBasic understanding of containerization technologies such as Docker and KubernetesExcellent verbal and written communication skills in EnglishAbility to collaborate remotely with a diverse set of team members and stakeholdersMotivated, productive, and organized in a fully remote environmentAbility to travel to international destinations for up to two weeks at a time, approximately 2-4 times per year. Locations prior to the global pandemic included New York, Seattle, London, Cape Town, Budapest, Berlin, Montreal, and Brussels.

What Canonical offers
Personal learning and development budgetAnnual compensation reviewRecognition rewardsAnnual leavePriority Pass for travel

Canonical is a growing international software company that works with the open-source community to deliver Ubuntu, the world's best free software platform. Our services help businesses worldwide reduce costs, improve efficiency and enhance security with Ubuntu.

We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration.",Full-time · Entry
Data Scientist - NumPy Maths Python,Client Server,"Madrid, Community of Madrid, Spain",3 weeks ago,,level,51-200 employees · Staffing and Recruiting,"About the job
          

 
                Data Scientist (Python R NumPy Mathematics) *Remote*. Are you a talented Data Scientist looking for an opportunity to work on hugely complex pricing systems within a fully remote role?

You could be joining a successful car insurance company that puts technology and engineering at the core of everything they do. The company's platform is highly complex as it processes millions of data points to provide a comprehensive and accurate insurance quote within 60 seconds.

As a Data Scientist, you will be joining the company's Pricing team where you will design and build the proprietary predictive technology in areas such as, prediction of future claims, renewal probability, price demand, and portfolio value optimisation. You will seek to implement new technologies to solve complex problems that arise and will be encouraged to achieve team goals in an innovative way, suggesting new ideas to generate value for the company.

The company is based in Madrid however, you can work remotely from anywhere within Madrid, the Netherlands, Amsterdam, or the UK.

Requirements:
You have experience within Data Scientist and have a good understanding of key data analysis librairesYou have very good Python and R programming skillsYou have experience working on pricing systems previouslyYou are degree educated in a STEM subject such as Statistics, Mathematics, or PhysicsYou have strong problem solving and analytical skillsYou are fluent in English and ideally Spanish (although this is not essential)You have excellent communication and collaboration skills

As a Data Scientist you can expect to earn a competitive salary (up to €70k) plus benefits.

Apply today or call to have a confidential discussion about this Data Scientist (Python R) role.",Full-time · Mid-Senior
RETAIL ARCHITEC BASED IN NETHERLANDS,SPRINTER,"Alicante, Valencian Community, Spain",3 days ago,,level,"1,001-5,000 employees · Sporting Goods Manufacturing","About the job
          

 
As a Retail Architect you will be the person in charge of preparing budgets for store opening projects and/or reforms in the netherland stores, carrying out exhaustive monitoring of them for the different fascias of the ISRG group .
FunctionsEstimation of costs and preparation of budgets for store opening projects and/or reforms.Monitoring of budgets and their deviations.Negotiating prices with different suppliers.Search for new suppliers according to the needs of the work.Interpretation and study of plans and project documentation.Support to the team in the planning and management of work.
Knowledge of the positionDegree in Architecture or Technical Engineering or similar.Advanced level of AutoCad.English level B2/C1.Advanced level of Excel.
Experience and availabilityAt least 3 years of experience in a similar position.Availability to live and work in the Netherlands.Availability to travel. Previous experience in retail environments is valuable. 
ValuableKnowledge of Dutch is a plus.
SkillsOrientation to resultsAdaptability/FlexibilityTeamworkCustomer ServiceQualityOrientation to Detail.",
Subject Matter Expert – Sustainable Aviation Fuels (SAF),Boeing,"Madrid, Community of Madrid, Spain",9 hours ago,,Full-time,"10,001+ employees · Aviation and Aerospace Component Manufacturing","About the job
          

 
Job Description
At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Boeing Research and Technology Europe & Brazil is seeking a SAF (Sustainable Aviation Fuels) SME (Subject Matter Expert), working out of the Madrid office in Spain.
The SAF SME will develop SAF research projects with internal and external partners, provide subject matter expertize on SAF and will ensure management and execution of projects in the Boing Global Technologies SAF technology development portfolio.
We believe sustainability begins with a focus on environmental stewardship, social progress and inclusion, and values-based, transparent governance. Advancing environmental, social and governance (ESG) priorities is a focus for the company globally.
Who are we? We are engineers and technicians. Skilled scientists and thinkers. Bold innovators and dreamers. We are part of a world-class, diverse team. The environment is fast-paced and entrepreneurial.
What is unique about our team? We are the world’s largest aerospace company, leading manufacturer of commercial and defense airplanes, space and security systems. You can build something innovative and ground-breaking for our teams, customers and for the world. You can be challenged, develop new skills and have fun! Join us.
Key Responsibilities:
Provides senior level SAF subject matter expertise to inform and guide the company on SAF research projects. Helps shape and deliver strategic SAF projects and SAF program elements aligned to technology development objectives;Advises other Boeing units on SAF activities and technology development ;Partners with relevant colleagues around the globe to develop and advance Boeing SAF strategy;Develops SAF research projects, together with fellow subject matter experts and leaders in BRT-EU;Seeks and matures external collaboration and funding opportunities that advance key SAF technology development objectivesPerforms project management duties (i.e. planning, managing, reporting) for delivery against key technology development program initiativesMonitors project execution and prioritizes projects based on program commitmentsIdentifies and tracks risks and mitigation plans for key program initiativesCollaborates with internal finance team to monitor actual cost incurred against released budget and support reporting requirementsEffectively communicates activities internally at BRT-Europe, in close coordination with SAF Portfolio Manager and other BRT-Europe colleagues working on SAF research projects;
Employer will not sponsor applicants for employment visa status.
Basic Qualifications (Required Skills/Experience):
Experience leading research projects;Must have complete ability to create project schedules which identify time frames for key project milestones, independently identify project resource requirements, collaborate with others on more complex projects assigned, and assist others in complex large-scale projects;Strong technical research skills and the ability to synthesize results and make recommendations;Experience developing and maintaining relationships and partnerships with research institutions, senior executives, customers, stakeholders, peers, and partners;Ability to effectively communicate complex topics to various audiences using range of mediums;Experience multi-tasking and working in a team environment;Fluent in both written and verbal English;
Preferred Qualifications (Desired Skills/Experience):
Bachelor's degree (Masters, JD, Ph.D.) in a field related to renewable energy;5+ years of experience in Sustainable Aviation Fuels research or 8+ years on renewable energy research;Experience with fuels, propulsion, clean energy transition, climate change, or related topics;Ideally, the candidate will have worked in the field of bioenergy, biofuels or related areas;Familiarity with aviation industry’s commitments to decarbonizing the industry;The selected candidate will have a proven ability to engage and inspire multiple internal and external stakeholders involved in SAF research;The selected candidate will have a natural propensity to build relationships and strong business acumen to assess strengths and weaknesses of projects developed in the aviation sustainability space;Above all, the selected successful candidate will be a team player with a passion for sustainability and enthusiasm for the aviation industry
Typical Education & Experience:
Technical bachelor’s degree and typically 9 or more years’ related work experience or a Master’s degree with typically 7 or more years’ or a PhD degree with typically 4 or more years’ related work experience or an equivalent combination of education and experience.
Relocation:
Relocation assistance is not a negotiable benefit for this position. Candidates must live in the immediate area or relocate at their own expense.
Additional Information:
This requisition is for an international, locally hired position, Benefits and pay are determined at the local level and are not part of Boeing U.S.-based payroll. All information provided will be checked and may be verified. Please apply as soon as possible for this role as recruitment may commence before the end date.
At Boeing, diversity, equity, and inclusion are enduring company values. We strive to live these values every day not only because it’s the right thing to do, but because our success depends on it. The company’s commitment to diversity and inclusion means providing a work environment for all employees that is welcoming, respectful and equitable, with opportunities for personal and professional development
Experience Level
Individual Contributor
Contingent Upon Program Award
No, this position is not contingent upon program award
Schedule
Full time
Equal Opportunity Employer:
Boeing is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military/veteran status or other characteristics protected by law.",
Data Analysis Specialist,PPG,"Barcelona, Catalonia, Spain",1 month ago,26 applicants,Full-time,"10,001+ employees · Chemical Manufacturing","About the job
          

 
                As a DATA ANALYSIS SPECIALIST, you will be able to be business, function, or process specialist and technology generalists or specialists.

You will make a difference!

Key Responsibilities
You will have an understanding of business needs and how to address those needs with effective Data and Analytics solutions. Provide technical and analytical expertise within an assigned business unit/area. As a member of a project team you will participate in the analysis, design, development, and implementation of business analytics solutions.You will translate business requirements into data model and visualization designs, and/or communicate the need for predictive analytics when required to support PPG businesses decisions. You will prepare detailed technical specifications, to include transformations, visualizations and calculations from which analytics solutions will be developed. Will supervise the tasks of other team members to ensure on time on budget delivery. Must be familiar with project management techniques and actively participate in prioritizing tasks, developing risk contingencies, adjusting project scope, interacting with purchasing, and providing management feedback.
Qualifications
Bachelor’s degree in Information Management, Data Science, Computer Science, or related discipline, or equivalent work experience and technical training.Minimum of 3-year experience in data/systems analysis, design, development, and implementation.Solid understanding of Data Warehousing/Big data architectures, analytical and design techniques, database technologies, and programming languages, including Business Intelligence.Ability to design systems using the appropriate architecture and tools such as Azure Data Lake, DataBricks, SQL DB, AAS, Snowflake, and visualization tools like Power BI.Must be comfortable working remotely and lack of face-to-face time with colleagues and managers.Ability to utilize project and code tracking tools such as DevOps and Github.Strong communication skills, with emphasis on English fluency are necessary for business client engagements.
Inspire change!

 

About Us

Here at PPG we make it happen, and we seek candidates of the highest integrity and professionalism who share our values, with the commitment and drive to strive today to do better than yesterday – everyday.

PPG: WE PROTECT AND BEAUTIFY THE WORLD™ 

Through leadership in innovation, sustainability and color, PPG helps customers in industrial, transportation, consumer products, and construction markets and aftermarkets to enhance more surfaces in more ways than does any other company. To learn more, visit www.ppg.com and follow @ PPG on Twitter.

The PPG Way

Every Single Day At PPG

We partner with customers to create mutual value. 

We are insightful, dedicated and proactive. We have intimate knowledge of the market and our customers. We focus on practical solutions that make a difference.

We are “One PPG” to the world. 

We are better and stronger together. We leverage our scale to reach new markets and introduce innovative technologies as we differentiate and disrupt our markets.

We trust our people every day, in every way. 

We enable and empower our people to make the right decisions. We are inclusive, transparent and respectful. Our feedback is clear and actionable.

We make it happen. 

We have a passion for winning. We achieve. We deliver with discipline and integrity. We bring our best energy to our work. We decide and act intelligently and quickly.

We run it like we own it. 

We respect one another by being responsible and accountable. We always act in the best interest of our company, customers, shareholders and our communities.

We do better today than yesterday – everyday. 

We continuously learn. We develop our people to grow our businesses.

PPG Way: (Click here to learn more about the PPG Way)

PPG vision: http://corporate.ppg.com/Our-Company/PPG-Vision.aspx

We are One PPG: http://one.ppg.com/

PPG provides equal opportunity to all candidates and employees. We offer an opportunity to grow and develop your career in an environment that provides a fulfilling workplace for employees, creates an environment for continuous learning, and embraces the ideas and diversity of others. All qualified applicants will receive consideration for employment without regard to sex, pregnancy, race, color, creed, religion, national origin, age, disability status, marital status, sexual orientation, gender identity or expression. If you need assistance to complete your application due to a disability, please email recruiting@ppg.com.

PPG values your feedback on our recruiting process. We encourage you to visit Glassdoor.com and provide feedback on the process, so that we can do better today than yesterday.

Benefits will be discussed with you by your recruiter during the hiring process.",
"Data Scientist, Commercial Systems",Canonical,"Barcelona, Catalonia, Spain",2 weeks ago,32 applicants,level,"501-1,000 employees · Software Development","About the job
          

 
                We have established a new data science practice at Canonical. The team will innovate in the open source data science technology stack, deliver advanced business analytics, support product roadmap decisions for Canonical through actionable insights, and lead by example in setting and publicly advocating for industry standards in open source data science. The team will have both Data Scientists and Data Engineers.

As a Data Scientist at Canonical you will work to generate actionable insights from data across the Canonical ecosystem. Our Data Engineers work hard to make sure that you have the right data - with the right safeguards - in your hands at any time. As a Data Scientist, your challenge is to transform that data into meaningful changes in our operations, decision-making or awareness.

You will design, deploy and evaluate machine learning models at scale on cutting-edge infrastructure. You will use a range of analytics capabilities to build decision-support tools, dashboards, monitoring and reports.

As an internal user, you will shape, beta test and contribute to our open source data platforms and MLOps solutions. This work requires proactive collaboration in a worldwide distributed team of engineers who are experts in many fields.

At Canonical you will partner up with key stakeholders to build data products to support our diverse offerings - from Ubuntu Desktop and Server, cloud infrastructure at the largest scale, to open source robotics and IoT solutions.

You will be at the forefront of technical development in open source data science. As such, you will get the chance to advocate for solutions, which you help to build, at the most prestigious industrial and academic venues worldwide.

We expect
Bachelor's degree or equivalent in Computer Science or a related engineering fieldAbility to decompose complex business problems into computational experimentsRigorous and consistent application of the scientific methodAbility to condense heterogeneous data into understandable formsExperience with open source data platform software, from ingestion to visualizationExperience with the Python scientific stack, data structures, and algorithmsExperience within machine learning frameworks such as TensorFlow or PyTorchExperience with RDBMS or NoSQL databases and ability to use SQLExperience using Linux as an advanced userBasic understanding of containerization technologies such as Docker and KubernetesExcellent verbal and written communication skills in EnglishAbility to collaborate remotely with a diverse set of team members and stakeholdersMotivated, productive, and organized in a fully remote environmentAbility to travel to international destinations for up to two weeks at a time, approximately 2-4 times per year. Locations prior to the global pandemic included New York, Seattle, London, Cape Town, Budapest, Berlin, Montreal, and Brussels.

What Canonical offers
Personal learning and development budgetAnnual compensation reviewRecognition rewardsAnnual leavePriority Pass for travel

Canonical is a growing international software company that works with the open-source community to deliver Ubuntu, the world's best free software platform. Our services help businesses worldwide reduce costs, improve efficiency and enhance security with Ubuntu.

We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration.",Full-time · Entry
System Administrator,OmniAccess,"Palma, Balearic Islands, Spain",1 week ago,26 applicants,Associate,51-200 employees · IT Services and IT Consulting,"About the job
          

 
The Infrastructure Department of Omniaccess is on the track of transition to new relationship models with the Development Team based on DevOps and SRE. We have our own private cloud environment based on Nutanix as well as other systems that must managed at OS and hardware levels.
Key tasks to develop will be the infrastructure and systems architecture definition, the automation of tasks and deployments, the development of new projects as well as third level incident response about systems (with an on-call shift) and, of course, the development and implementation of processes and tools that reduce the gap between the development team and systems.
We work with technologies such as those listed below, so it would be nice if you have knowledge/experience with most of them. Don’t worry if you do not cover all requirements, we value your will to learn, your motivation and your capacity to work independently.
Hyperconvergence systems (Nutanix) and virtualization environments like VMWare as well as public cloud as AWSDocker/Swarm environmentsRelational databases (SQL Server, PostgreSQL, MySQL)Web servers as Nginx and ApacheWe own a datacenter, so we must sometimes install servers, devices or enclosuresProgramming and/or scripting (python, bash, PowerShell, ...)We are a telco company, so some networking knowledge would be a bonusBut we have already moved to the next step so we also value your experience and will to learn in application development in dynamic environments with containers and microservices architectures from the operation, software automation and reliability point of view.

REQUISITOS MÍNIMOS:
Benefits and Perks:
Working in a hyper-growth environment, you will enjoy numerous learning and career development opportunitiesA professional working environment with motivated Engineers coming from all different horizons and countries with a common passion for telecommunicationsAn individualized training and development program.Accommodation, and per diems if you come to visit us
If you would like to live in Mallorca:
Breakfast, high-quality daily lunch at a very low cost, fruit, coffee and snacks all day long.Every Thursday you will have a free lunch with your colleagues.Remote working and flexible working hours policy.Gym and game room at your disposal.",
Work-from-Home as a Media Search Analyst,TELUS International AI Data Solutions,"Madrid, Community of Madrid, Spain",3 days ago,,level,"10,001+ employees · IT Services and IT Consulting","About the job
          

 
Media Search Analyst - An exciting work from home opportunity related to Music, Video App Store and HomePod! We offer a flexible schedule of up to 20 hours per week completing tasks in a web-based evaluation tool.
The Role: Evaluation of online task types related to Music, Video, App Store and HomePod to help improve the overall quality and relevance of online content and research.
What are the main requirements for the job?Fluency in English & Spanish is essentialYou must be living in Spain for a minimum of 1 yearApple user - Your email address must be associated with an Apple IDExperience/know-how of Apple products is mandatoryMust own and use an iOS Device (iPhone, iPad, iPod, iPod Touch) supporting the latest iOS version.
Benefits & Perks:Flexible hours to work around home lifeBetter Work-Life balanceRemote work & location independencePositive environmental impactIndependent contractor role
In order to apply,
Create an account here: https://www.telusinternational.ai/cmp/contributor/jobs/available/283Click ""Sign Up"" and answer the necessary fields.Check your email inbox to confirm your email and set up your password and account.
Please note that you must set up your country and primary language correctly in order to view this project.
Once you complete the registration process, click the ""Apply"" button to start your application process for the project.",Part-time · Entry
STAGER DATA SCIENTIST,MANGO,"Barcelona, Catalonia, Spain",1 day ago,,level,"10,001+ employees · Retail Apparel and Fashion","About the job
          

 
                Buscamos un/a

STAGER DATA SCIENTIST, que se incorpore a nuestro equipo a través de un convenio de prácticas.

¿CÓMO SERÁ TU DÍA A DÍA?

As Data Scientist you will be part of the team that shapes Mango’s data

products, intelligence, strategy, architecture and infrastructure. You will develop

state of the art data science and machine learning solutions to enable use cases

that are very innovative in the retail space, such as geoanalytics, robotization,

omnichannel personalization, the connected store, consumer 360º and real-time decisions.

We expect you to:
 Develop advanced mathematical and machine learning models to

improve our core business processes and decisions: product, channels,

supply chain and customer experience
 Use Spark to process Big Data and develop your models so they are

ready to scale and ready to production
 Apply engineering best practices: write tests, use automation, build

continuous integration pipelines, etc.
 Work with AWS services such as S3, Lambda, DynamoDB, EC2, etc. Work with a solid engineering approach in a strong team of data

scientists, data engineers, data architects and full stack developers.

Requirements:
 Computer Science students or Mathematics or Statistics (last years) with

good academic record
 Understanding of data modelling and SQL Capacity to code (or learn fast) in Python, R or Scala

You got it?

We like you!",
Analista de datos Jr Tableau&Power BI,Adecco,"Zaragoza, Aragon, Spain",2 weeks ago,,Associate,"10,001+ employees · Staffing and Recruiting","About the job
          

 
                ¿Te dedicas al sector IT y buscas un cambio o reto profesional?

Si te apetece formar parte de un equipo de trabajo comprometido, dinámico y te gusta aprender y asumir nuevos retos, queremos saber de ti.

¿A quién nos gustaría encontrar?

Estamos buscando una persona proactiva, con ganas de crecer dentro de la empresa, con capacidad analítica para entender los datos e interés por aprender a utilizar herramientas de visualización y diseño de Dashboard (Tableau, PowerBI, Looker o similares).

Se trabaja con una metodología agile en el framework de scrum.

Tanto si has finalizado tus estudios relacionados (Matemáticos/as, Ingeniería, Estadístico/a, Economía y similares) como si y ya cuentas con experiencia en Business Intelligence o análisis de datos, ¡esta puede ser tu oportunidad!

Sería ideal conocer Tableau, pero si no es así, la empresa te proporcionará la formación necesaria.

Sería un plus contar con experiencia en entidades financieras y/o aseguradoras.

Requisitos

Tus Funciones Serán
 Utilizar los informes que dispone el banco y estructurarlos de forma eficiente mediante herramientas de visualización de datos. Toma de requerimientos funcionales para la elaboración de nuevos informes Desarrollo y mantenimiento de dashboards visualmente atractivos, que contengan aspectos clave para seguimiento de negocio y tracking de principales KPI's Extracción de información a demanda para facilitar la toma de decisiones sobre aspectos específicos de negocio Garantizar la disponibilidad, fiabilidad, calidad e integridad de la información necesaria para el seguimiento y la toma de decisiones Automatización de los procesos de generación de información para ejecuciones automáticas recurrentes Organización, optimización y explotación de las bases de datos de forma eficiente y sencilla
Necesitamos

Preferiblemente titulación universitaria: Ingeniería, Informática, Estadística, Economía, Matemáticas o similares.

Disponibilidad para trabajar en PLAZA
 Conocimientos en herramientas de visualización de datos: Power BI, Tableau, Qlickview, Looker. Valorables conocimientos en bases de datos, queries en SQL, SSIS, etc,... Manejo de herramientas informáticas: MS Office (Excel, VBA, SQL) Capacidad analítica
¿Qué ofrecemos?
 Contratación directa por parte de la empresa. Contrato estable. Jornada de trabajo de lunes a jueves de 8:00 a 17:00 o de 9:00 a 18:00 y el viernes jornada intensiva hasta las 15:00h. Modalidad híbrida de trabajo alternando jornadas presenciales y trabajo en remoto.",
Senior Data Scientist (open to full remote in Spain),Back Market,"Barcelona, Catalonia, Spain",3 days ago,,Associate,"501-1,000 employees · Internet Marketplace Platforms","About the job
          

 
                Back Market is the world’s leading refurbished electronics marketplace with a team of more than 650, powering operations in 16 countries (and counting!).

Back Market is undergoing meteoric growth and has raised $884 million, with a valuation of $5.7 billion. Our mission is simple: empowering people to buy tech sustainably by offering folks a high quality, accessible, and more eco-friendly alternative to buying new electronics. Why? Refurbished tech helps lower our collective environmental impact .

Be part of a great and growing adventure that will change the way the world consumes tech.

As part of the Bureau of Technology, your mission will be to design, develop and improve data-driven solutions that will play a key role in developing BackMarket's business and vision. You will first join our Backbox team which builds a service relying on several Machine Learning algorithms that selects the most relevant refurbished product for our users, through fair and transparent competition between merchants. Backbox will serve as our Data Science and Machine Learning incubator from which a new Data Science/ML-focused team focused on recommendation will emerge and that you will join.

Your mission : 
Help build Back Market's in-house recommendation engineWork with machine learning engineers to industrialize models and monitor their impact with A/B testingImprove existing ML models currently in productionPerform deep dive analysis using data science tools to provide high value business insights related to product recommendationHelp grow data science at Back Market through a data science chapter

You’re perfect for this role if :
You have a proven track record in in-house recommendation systemsYou have a pragmatic mindset. You will be in charge of implementing solutions that bring value with the right toolsYou have experience with machine learning and data science use cases running in production You have the ability to deep dive into mathematical topics (data science, machine learning, statistics)You have the ability to vulgarize a technical topic to non-technical people  You have great verbal and written communication skills in English

Recruitment process :
1st screening call Technical test & tech interview with the teamTeam fit interview with the rest of the teamStakeholders interviewsLeadership / founder interview

WHY SHOULD YOU JOIN US ?
 A meaningful job: through hard work, you will help avoid thousands of tons of electronic waste and fight against planned obsolescence. It counts! An attractive salary, equity, multiple benefits (meal tickets, health insurance, etc...), parental benefits, #remote friendly company, relocation package, internal events, etc… Technical challenges all day every day: you will have the freedom to innovate and adopt new ideas! Work with passionate experts who will share their knowledge and help you develop and grow! (Backademy, technical guilds, Meet-up & Conference) Grow your career with a flexible career path, BackMarket can help you evolve! A booming scale-up: our environment is rapidly growing in Europe, the USA and soon in Asia! A lot of fun: you will have the opportunity to work in a fast-paced, open-minded and friendly environment.

BackMarket is an Equal Opportunity Employer for any minority, disability, gender identity or sexual orientation.",
